Player,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Year,Team,Affiliation,RoundNumber,RoundPick,OverallPick
Terrence Shannon Jr.,SF,10.36,-,3.06,32.0,37.5,2023,,,,,
Ben Sheppard,SG,10.88,2.98,3.17,29.5,35.5,2023,Indiana Pacers,Belmont,1,26,26
Jalen Slawson,PF,11.26,-,3.29,29.0,33.0,2023,Sacramento Kings,Furman,2,24,54
Terquavion Smith,SG,10.86,-,3.21,30.0,37.0,2023,,,,,
Nick Smith Jr.,SG,-,-,-,-,-,2023,Charlotte Hornets,Arkansas,1,27,27
Julian Strawther,SF,10.94,3.46,3.31,27.5,34.5,2023,Indiana Pacers,Gonzaga,1,29,29
Amen Thompson,SG,-,-,-,-,-,2023,Houston Rockets,Overtime Elite,1,4,4
Ausar Thompson,SG,-,-,-,-,-,2023,Detroit Pistons,Overtime Elite,1,5,5
Drew Timme,C,10.93,-,3.34,26.0,30.5,2023,,,,,
Nae'Qwan Tomlin,PF,-,-,-,-,-,2023,,,,,
Oscar Tshiebwe,C,12.26,-,3.32,29.5,32.5,2023,,,,,
Azuolas Tubelis,PF,11.17,-,3.50,23.5,30.5,2023,,,,,
Tristan Vukcevic,C,11.71,3.16,3.43,26.0,30.5,2023,Washington Wizards,Real Madrid Baloncesto (Spain),2,12,42
Jarace Walker,PF,10.89,-,3.20,34.5,38.0,2023,Washington Wizards,Houston,1,8,8
Cason Wallace,PG,10.82,-,3.34,28.0,36.0,2023,Dallas Mavericks,Kentucky,1,10,10
Jordan Walsh,SF,10.83,-,3.30,33.0,36.0,2023,Sacramento Kings,Arkansas,2,8,38
Victor Wembanyama,C,-,-,-,-,-,2023,,,,,
Dariq Whitehead,SG,-,-,-,-,-,2023,Brooklyn Nets,Duke,1,22,22
Cam Whitmore,SF,10.82,3.33,3.20,31.5,40.5,2023,Houston Rockets,Villanova,1,20,20
Jalen Wilson,SF,11.26,3.15,3.20,31.5,35.0,2023,Brooklyn Nets,Kansas,2,21,51
Isaiah Wong,SG,10.93,-,3.22,32.5,37.0,2023,Indiana Pacers,Miami (FL),2,25,55
Patrick Baldwin Jr.,SF,12.25,3.30,3.45,23.5,26.5,2022,Golden State Warriors,Wisconsin-Milwaukee,1,28,28
Paolo Banchero,PF,-,-,-,-,-,2022,,,,,
Dominick Barlow,PF,11.29,3.19,3.33,28.5,34.0,2022,,,,,
